2019-168;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue payenne, 75003 paris;75003;2019-02-15;2019-02-16;2.36246962;48.85821901;"{""type"": ""Point"", ""coordinates"": [2.36246962418062, 48.85821901101249]}";48.858219011,2.36246962418
2019-169;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue bichat, 75010 paris;75010;2019-02-15;2019-02-15;2.36787378;48.87180669;"{""type"": ""Point"", ""coordinates"": [2.367873777552742, 48.871806686016164]}";48.871806686,2.36787377755
2019-523;2019;Série TV;Munch saison 3;Laurent TUEL;JLAPRODUCTIONS;7 rue du jourdain, 75020 paris;75020;2019-05-24;2019-05-25;2.38927164;48.8747952;"{""type"": ""Point"", ""coordinates"": [2.389271644840493, 48.87479520379267]}";48.8747952038,2.38927164484
2019-528;2019;Long métrage;Madame Claude;Sylvie VERHEYDE;Les Compagnons du Cinéma;rue adolphe yvon, 75116 paris;75116;2019-05-21;2019-05-21;2.27161094;48.86404196;"{""type"": ""Point"", ""coordinates"": [2.271610942737006, 48.86404195655532]}";48.8640419566,2.27161094274
2019-1449;2019;Long métrage;PAR UN DEMI CLAIR MATIN;Bruno Dumont;3B PRODUCTIONS;place françois ier, 75008 paris;75008;2019-11-03;2019-11-03;2.3076061;48.86625686;"{""type"": ""Point"", ""coordinates"": [2.307606101729049, 48.866256855294466]}";48.8662568553,2.30760610173
2019-1450;2019;Série Web;Tu Préfèreres;Lise Akoka et Romane Gueret;Superstructure;21 rue augustin thierry, 75019 paris;75019;2019-10-23;2019-10-23;2.39323292;48.87615564;"{""type"": ""Point"", ""coordinates"": [2.393232921569863, 48.87615564093728]}";48.8761556409,2.39323292157
2018-800;2018;Long métrage;MERVEILLES A MONTFERMEIL;Jeanne Balibar;FILM(S);rue pasteur, 75011 paris;75011;2018-07-10;2018-07-10;2.37589888;48.86236702;"{""type"": ""Point"", ""coordinates"": [2.375898877340252, 48.86236702389297]}";48.8623670239,2.37589887734
2018-817;2018;Série Web;Sid Lee - Salomon;Eric Meng;Les Initiés;passerelle bz/12, 75012 paris;75012;2018-07-11;2018-07-11;2.38736521;48.84232937;"{""type"": ""Point"", ""coordinates"": [2.387365205648781, 48.84232936460221]}";48.8423293646,2.38736520565
2018-1516;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;41b quai de la loire, 75019 paris;75019;2018-12-05;2018-12-06;2.37902873;48.8876142;"{""type"": ""Point"", ""coordinates"": [2.379028729534671, 48.887614194350235]}";48.8876141944,2.37902872953
2018-1519;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;5 avenue albert de mun, 75116 paris;75116;2018-12-06;2018-12-08;2.29147419;48.86303972;"{""type"": ""Point"", ""coordinates"": [2.29147418547214, 48.86303971716837]}";48.8630397172,2.29147418547
2018-1544;2018;Long métrage;C'est la vie;Julien Rambaldi;RECIFILMS;1 place de breteuil, 75007 paris;75007;2018-12-11;2018-12-11;2.31224982;48.84770728;"{""type"": ""Point"", ""coordinates"": [2.312249820472198, 48.84770727879403]}";48.8477072788,2.31224982047
2018-1551;2018;Long métrage;La nuit venue;Frederic Farrucci;Koro film;boulevard gouvion-saint-cyr, 75017 paris;75017;2018-12-12;2018-12-13;2.28735985;48.88304848;"{""type"": ""Point"", ""coordinates"": [2.28735985046238, 48.883048476557065]}";48.8830484766,2.28735985046
